item,qualifier,description,category,synonyms,electrical,functional,notes
air conditioning unit,,,Electrical goods - other,,yes,no,added
armchair,,,Furniture,,no,,
barbecue,,,Furniture,BBQ,no,,
bath,cast iron,,Fixtures and fittings,,no,,
bath,plastic,,Fixtures and fittings,,no,,
bath,tin,,Fixtures and fittings,,no,,
bathroom cabinet,,,Fixtures and fittings,,no,,
bathroom suite,up to 3 items counts as 1,,Fixtures and fittings,,no,,
"bed base, double ",excluding mattress,"includes divan, bunk beds, cots",Furniture,,no,,is frame better?
"bed base, single",excluding mattress,"includes divan, bunk beds, cots",Furniture,,no,,
bedside cabinet​,,,Furniture,,no,,
bench,wooden,,Furniture,,no,,
bicycle,adult,,General,,no,,
bicycle,child,,General,,no,,
blanket box,,,Furniture,Ottoman,no,,
boiler,,,Fixtures and fittings,,no,,
bookcase,,,Furniture,,no,,
broken tiles,1 sealed box,,Fixtures and fittings,,no,,
bundle of copper piping,,,General,,no,,
bundle of wood,,,General,,no,,
cabinet,free standing,,Furniture,,no,,
cane furniture,,,Furniture,,no,,
cardboard boxes,,,General,,no,,
carpet,roll,,General,,no,,
chair,,,Furniture,,no,,
chaise long​,,,Furniture,,no,,
chalk board,,,General,,no,,
chest freezer,,,Electrical goods - kitchen,,yes,yes,
chest of drawers,,,Furniture,,no,,
clock,freestanding,,General,,no,,
clock,wall mounted,,General,,no,,
clothes airer,,,General,,no,,
coat stand,,,Fixtures and fittings,,no,,removed hat variant
coffee table,,,Furniture,,no,,
computer base unit,,,Electrical goods - other,,yes,,
computer monitor,,,Electrical goods - other,,yes,,
computer monitor and base unit,,,Electrical goods - other,,yes,,
cooker,electric,,Electrical goods - kitchen,,yes,,up to 600mm standard size only (?)
cooker,gas,,Kitchen,,no,,
cooker with hob,,,Electrical goods - kitchen,,yes,yes,
cupboard,,,Furniture,,no,,
deep fryer,,,Electrical goods - kitchen,,yes,,
dehumidifier,,,Electrical goods - other,,yes,,
desk,,,Furniture,,no,,
dining chair,,,Furniture,,no,,
dining table,,,Furniture,,no,,
dishwasher,,,Electrical goods - kitchen,,yes,,
display cabinet,,,Furniture,,no,,
display case,,,Furniture,,no,,
drawer unit,,,Furniture,,no,,
dresser,,,Furniture,,no,,
